BODY Dose (GY),BODY Value (% of 527.576 cc),Borders Dose (GY),Borders Value (% of 0.837 cc),Breast Dose (GY),Breast Value (% of 81.511 cc),Heart Dose (GY),Heart Value (% of 54.673 cc),Lt Lung Dose (GY),Lt Lung Value (% of 192.523 cc),Nodes Dose (GY),Nodes Value (% of 0.466 cc),Scar Dose (GY),Scar Value (% of 0.405 cc),Tumor Bed Dose (GY),Tumor Bed Value (% of 5.100 cc),Tumor Bed Block Dose (GY),Tumor Bed Block Value (% of 14.775 cc),
0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,
0.100000,25.511442,0.100000,27.450980,0.100000,88.139053,0.100000,49.556308,0.100000,58.760941,0.100000,58.291457,0.100000,100.000000,0.100000,100.000000,0.100000,100.000000,
0.300000,13.216851,0.300000,0.000000,0.300000,56.866410,0.300000,32.786042,0.300000,31.689858,0.300000,0.000000,0.300000,100.000000,0.300000,100.000000,0.300000,100.000000,
0.500000,10.772149,0.500000,0.000000,0.500000,49.399045,0.500000,29.635187,0.500000,26.615780,0.500000,0.000000,0.500000,100.000000,0.500000,100.000000,0.500000,100.000000,
0.700000,9.777031,0.700000,0.000000,0.700000,46.201622,0.700000,28.057616,0.700000,24.330740,0.700000,0.000000,0.700000,100.000000,0.700000,100.000000,0.700000,100.000000,
0.900000,9.047575,0.900000,0.000000,0.900000,44.398758,0.900000,26.925880,0.900000,22.942917,0.900000,0.000000,0.900000,100.000000,0.900000,100.000000,0.900000,100.000000,
1.100000,7.458496,1.100000,0.000000,1.100000,43.030076,1.100000,25.776997,1.100000,22.005527,1.100000,0.000000,1.100000,99.421965,1.100000,100.000000,1.100000,100.000000,
1.300000,6.765468,1.300000,0.000000,1.300000,42.167462,1.300000,24.868179,1.300000,21.118050,1.300000,0.000000,1.300000,99.421965,1.300000,100.000000,1.300000,100.000000,
1.500000,6.338544,1.500000,0.000000,1.500000,41.431365,1.500000,23.702148,1.500000,20.392486,1.500000,0.000000,1.500000,98.265896,1.500000,100.000000,1.500000,100.000000,
1.700000,5.987143,1.700000,0.000000,1.700000,40.698143,1.700000,22.128864,1.700000,19.612140,1.700000,0.000000,1.700000,97.687861,1.700000,100.000000,1.700000,100.000000,
1.900000,5.237251,1.900000,0.000000,1.900000,40.079936,1.900000,19.235221,1.900000,18.747793,1.900000,0.000000,1.900000,97.687861,1.900000,100.000000,1.900000,100.000000,
2.100000,4.638848,2.100000,0.000000,2.100000,39.550865,2.100000,15.810006,2.100000,17.635100,2.100000,0.000000,2.100000,97.109827,2.100000,100.000000,2.100000,100.000000,
2.300000,4.395399,2.300000,0.000000,2.300000,38.860774,2.300000,12.307626,2.300000,15.442582,2.300000,0.000000,2.300000,96.531792,2.300000,100.000000,2.300000,100.000000,
2.500000,4.168832,2.500000,0.000000,2.500000,38.254069,2.500000,8.320830,2.500000,11.381372,2.500000,0.000000,2.500000,93.641618,2.500000,100.000000,2.500000,100.000000,
2.700000,4.012012,2.700000,0.000000,2.700000,37.701996,2.700000,3.648133,2.700000,7.718247,2.700000,0.000000,2.700000,91.907514,2.700000,100.000000,2.700000,100.000000,
2.900000,3.886290,2.900000,0.000000,2.900000,37.080913,2.900000,1.414670,2.900000,5.904338,2.900000,0.000000,2.900000,89.595376,2.900000,100.000000,2.900000,100.000000,
3.100000,3.773895,3.100000,0.000000,3.100000,36.488585,3.100000,0.000000,3.100000,4.853731,3.100000,0.000000,3.100000,89.017341,3.100000,100.000000,3.100000,100.000000,
3.300000,3.660612,3.300000,0.000000,3.300000,35.956639,3.300000,0.000000,3.300000,4.512862,3.300000,0.000000,3.300000,86.127168,3.300000,100.000000,3.300000,100.000000,
3.500000,3.562877,3.500000,0.000000,3.500000,35.381563,3.500000,0.000000,3.500000,4.349732,3.500000,0.000000,3.500000,85.549133,3.500000,100.000000,3.500000,100.000000,
3.700000,3.430491,3.700000,0.000000,3.700000,34.863994,3.700000,0.000000,3.700000,4.182949,3.700000,0.000000,3.700000,83.815029,3.700000,100.000000,3.700000,100.000000,
3.900000,3.291441,3.900000,0.000000,3.900000,34.406809,3.900000,0.000000,3.900000,4.021036,3.900000,0.000000,3.900000,81.502890,3.900000,100.000000,3.900000,100.000000,
4.100000,3.132400,4.100000,0.000000,4.100000,33.961125,4.100000,0.000000,4.100000,3.895645,4.100000,0.000000,4.100000,78.034682,4.100000,100.000000,4.100000,100.000000,
4.300000,2.965362,4.300000,0.000000,4.300000,33.524067,4.300000,0.000000,4.300000,3.772689,4.300000,0.000000,4.300000,77.456647,4.300000,100.000000,4.300000,100.000000,
4.500000,2.783220,4.500000,0.000000,4.500000,33.075508,4.500000,0.000000,4.500000,3.637559,4.500000,0.000000,4.500000,76.300578,4.500000,100.000000,4.500000,100.000000,
4.700000,2.606409,4.700000,0.000000,4.700000,32.647076,4.700000,0.000000,4.700000,3.531646,4.700000,0.000000,4.700000,73.988439,4.700000,100.000000,4.700000,100.000000,
4.900000,2.431819,4.900000,0.000000,4.900000,32.264650,4.900000,0.000000,4.900000,3.419646,4.900000,0.000000,4.900000,71.676301,4.900000,100.000000,4.900000,100.000000,
5.100000,2.275443,5.100000,0.000000,5.100000,31.830468,5.100000,0.000000,5.100000,3.319820,5.100000,0.000000,5.100000,68.208092,5.100000,100.000000,5.100000,100.000000,
5.300000,2.123510,5.300000,0.000000,5.300000,31.261142,5.300000,0.000000,5.300000,3.233386,5.300000,0.000000,5.300000,66.473988,5.300000,100.000000,5.300000,100.000000,
5.500000,1.963136,5.500000,0.000000,5.500000,30.709069,5.500000,0.000000,5.500000,3.140864,5.500000,0.000000,5.500000,61.271676,5.500000,100.000000,5.500000,100.000000,
5.700000,1.801874,5.700000,0.000000,5.700000,29.924090,5.700000,0.000000,5.700000,3.071473,5.700000,0.000000,5.700000,58.381503,5.700000,100.000000,5.700000,100.000000,
5.900000,1.636169,5.900000,0.000000,5.900000,29.070102,5.900000,0.000000,5.900000,2.983821,5.900000,0.000000,5.900000,53.757225,5.900000,100.000000,5.900000,100.000000,
6.100000,1.449140,6.100000,0.000000,6.100000,28.365633,6.100000,0.000000,6.100000,2.911995,6.100000,0.000000,6.100000,49.710983,6.100000,100.000000,6.100000,100.000000,
6.300000,1.269219,6.300000,0.000000,6.300000,27.704296,6.300000,0.000000,6.300000,2.821908,6.300000,0.000000,6.300000,43.352601,6.300000,100.000000,6.300000,100.000000,
6.500000,1.093741,6.500000,0.000000,6.500000,27.169475,6.500000,0.000000,6.500000,2.756169,6.500000,0.000000,6.500000,42.196532,6.500000,100.000000,6.500000,100.000000,
6.700000,0.932923,6.700000,0.000000,6.700000,26.700788,6.700000,0.000000,6.700000,2.680691,6.700000,0.000000,6.700000,39.884393,6.700000,100.000000,6.700000,100.000000,
6.900000,0.805423,6.900000,0.000000,6.900000,26.240727,6.900000,0.000000,6.900000,2.595474,6.900000,0.000000,6.900000,37.572254,6.900000,100.000000,6.900000,100.000000,
7.100000,0.691251,7.100000,0.000000,7.100000,25.705906,7.100000,0.000000,7.100000,2.522430,7.100000,0.000000,7.100000,32.947977,7.100000,100.000000,7.100000,100.000000,
7.300000,0.583299,7.300000,0.000000,7.300000,25.162459,7.300000,0.000000,7.300000,2.457909,7.300000,0.000000,7.300000,28.901734,7.300000,100.000000,7.300000,100.000000,
7.500000,0.484231,7.500000,0.000000,7.500000,24.480994,7.500000,0.000000,7.500000,2.383648,7.500000,0.000000,7.500000,27.167630,7.500000,100.000000,7.500000,100.000000,
7.700000,0.400268,7.700000,0.000000,7.700000,23.779401,7.700000,0.000000,7.700000,2.304518,7.700000,0.000000,7.700000,24.277457,7.700000,100.000000,7.700000,100.000000,
7.900000,0.314528,7.900000,0.000000,7.900000,23.023176,7.900000,0.000000,7.900000,2.227822,7.900000,0.000000,7.900000,21.965318,7.900000,100.000000,7.900000,100.000000,
8.100000,0.255887,8.100000,0.000000,8.100000,21.979412,8.100000,0.000000,8.100000,2.154779,8.100000,0.000000,8.100000,17.919075,8.100000,100.000000,8.100000,100.000000,
8.300000,0.196358,8.300000,0.000000,8.300000,20.981655,8.300000,0.000000,8.300000,2.080518,8.300000,0.000000,8.300000,14.450867,8.300000,100.000000,8.300000,100.000000,
8.500000,0.152822,8.500000,0.000000,8.500000,19.788372,8.500000,0.000000,8.500000,1.995301,8.500000,0.000000,8.500000,10.982659,8.500000,100.000000,8.500000,100.000000,
8.700000,0.119059,8.700000,0.000000,8.700000,18.664098,8.700000,0.000000,8.700000,1.894258,8.700000,0.000000,8.700000,10.404624,8.700000,100.000000,8.700000,100.000000,
8.900000,0.090627,8.900000,0.000000,8.900000,17.597332,8.900000,0.000000,8.900000,1.785910,8.900000,0.000000,8.900000,9.248555,8.900000,100.000000,8.900000,100.000000,
9.100000,0.066637,9.100000,0.000000,9.100000,16.593824,9.100000,0.000000,9.100000,1.660519,9.100000,0.000000,9.100000,7.514451,9.100000,100.000000,9.100000,100.000000,
9.300000,0.047979,9.300000,0.000000,9.300000,15.688079,9.300000,0.000000,9.300000,1.531476,9.300000,0.000000,9.300000,6.936416,9.300000,100.000000,9.300000,100.000000,
9.500000,0.031986,9.500000,0.000000,9.500000,15.018115,9.500000,0.000000,9.500000,1.371998,9.500000,0.000000,9.500000,4.624277,9.500000,100.000000,9.500000,100.000000,
9.700000,0.018214,9.700000,0.000000,9.700000,14.359653,9.700000,0.000000,9.700000,1.225911,9.700000,0.000000,9.700000,4.046243,9.700000,100.000000,9.700000,100.000000,
9.900000,0.010218,9.900000,0.000000,9.900000,13.747197,9.900000,0.000000,9.900000,1.082259,9.900000,0.000000,9.900000,2.312139,9.900000,100.000000,9.900000,100.000000,
10.100000,0.004887,10.100000,0.000000,10.100000,13.174996,10.100000,0.000000,10.100000,0.913042,10.100000,0.000000,10.100000,1.734104,10.100000,100.000000,10.100000,100.000000,
10.300000,0.000888,10.300000,0.000000,10.300000,12.579792,10.300000,0.000000,10.300000,0.755999,10.300000,0.000000,10.300000,0.578035,10.300000,100.000000,10.300000,100.000000,
10.500000,0.000444,10.500000,0.000000,10.500000,12.019093,10.500000,0.000000,10.500000,0.619651,10.500000,0.000000,10.500000,0.000000,10.500000,100.000000,10.500000,100.000000,
10.700000,0.000000,10.700000,0.000000,10.700000,11.386509,10.700000,0.000000,10.700000,0.486956,10.700000,0.000000,10.700000,0.000000,10.700000,100.000000,10.700000,100.000000,
10.900000,0.000000,10.900000,0.000000,10.900000,10.739548,10.900000,0.000000,10.900000,0.353043,10.900000,0.000000,10.900000,0.000000,10.900000,100.000000,10.900000,100.000000,
11.100000,0.000000,11.100000,0.000000,11.100000,10.198976,11.100000,0.000000,11.100000,0.245913,11.100000,0.000000,11.100000,0.000000,11.100000,100.000000,11.100000,100.000000,
11.300000,0.000000,11.300000,0.000000,11.300000,9.687159,11.300000,0.000000,11.300000,0.160695,11.300000,0.000000,11.300000,0.000000,11.300000,100.000000,11.300000,100.000000,
11.500000,0.000000,11.500000,0.000000,11.500000,9.132210,11.500000,0.000000,11.500000,0.094956,11.500000,0.000000,11.500000,0.000000,11.500000,100.000000,11.500000,100.000000,
11.700000,0.000000,11.700000,0.000000,11.700000,8.511128,11.700000,0.000000,11.700000,0.052348,11.700000,0.000000,11.700000,0.000000,11.700000,100.000000,11.700000,100.000000,
11.900000,0.000000,11.900000,0.000000,11.900000,7.884295,11.900000,0.000000,11.900000,0.024348,11.900000,0.000000,11.900000,0.000000,11.900000,100.000000,11.900000,100.000000,
12.100000,0.000000,12.100000,0.000000,12.100000,7.271839,12.100000,0.000000,12.100000,0.008522,12.100000,0.000000,12.100000,0.000000,12.100000,100.000000,12.100000,100.000000,
12.300000,0.000000,12.300000,0.000000,12.300000,6.662258,12.300000,0.000000,12.300000,0.002435,12.300000,0.000000,12.300000,0.000000,12.300000,100.000000,12.300000,100.000000,
12.500000,0.000000,12.500000,0.000000,12.500000,6.167692,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,0.000000,12.500000,100.000000,12.500000,99.952411,
12.700000,0.000000,12.700000,0.000000,12.700000,5.566738,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,0.000000,12.700000,100.000000,12.700000,99.888959,
12.900000,0.000000,12.900000,0.000000,12.900000,4.948531,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,0.000000,12.900000,100.000000,12.900000,99.428934,
13.100000,0.000000,13.100000,0.000000,13.100000,4.315947,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,0.000000,13.100000,100.000000,13.100000,97.985406,
13.300000,0.000000,13.300000,0.000000,13.300000,3.602852,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,0.000000,13.300000,100.000000,13.300000,94.923858,
13.500000,0.000000,13.500000,0.000000,13.500000,2.858129,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,0.000000,13.500000,100.000000,13.500000,90.545685,
13.700000,0.000000,13.700000,0.000000,13.700000,2.024268,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,0.000000,13.700000,100.000000,13.700000,83.914975,
13.900000,0.000000,13.900000,0.000000,13.900000,1.061016,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,0.000000,13.900000,100.000000,13.900000,68.305838,
14.100000,0.000000,14.100000,0.000000,14.100000,0.460061,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,0.000000,14.100000,100.000000,14.100000,43.654822,
